experiment,seed,dataset,metric,value,checkpoint,source_file
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ClinicDB,S_alpha,0.9473448506433803,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ClinicDB,F_beta_w,0.9265440498883705,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ClinicDB,maxE_phi,0.9831352009462185,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ClinicDB,mE_phi,0.9781056019815484,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ClinicDB,MAE,0.01061246487485227,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ColonDB,mDice,0.785734231551095,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ColonDB,mIoU,0.7051667162676212,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ColonDB,S_alpha,0.8547755627091559,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ColonDB,F_beta_w,0.7647298547655964,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ColonDB,maxE_phi,0.9019011873243833,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ColonDB,mE_phi,0.8953474732268343,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-ColonDB,MAE,0.03575145989307466,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,ETIS-LaribPolypDB,mDice,0.7876520139138171,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,ETIS-LaribPolypDB,mIoU,0.707034111331952,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,ETIS-LaribPolypDB,S_alpha,0.8766077971778613,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,ETIS-LaribPolypDB,F_beta_w,0.7499312295928195,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,ETIS-LaribPolypDB,maxE_phi,0.9170495063477783,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,ETIS-LaribPolypDB,mE_phi,0.9023625479576283,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,ETIS-LaribPolypDB,MAE,0.015296731778319089,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,Kvasir-SEG,mDice,0.9261860054731369,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,Kvasir-SEG,mIoU,0.8754633015394211,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,Kvasir-SEG,S_alpha,0.9301034861073393,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,Kvasir-SEG,F_beta_w,0.9051534626564827,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,Kvasir-SEG,maxE_phi,0.963441650479489,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,Kvasir-SEG,mE_phi,0.9570724506819553,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,Kvasir-SEG,MAE,0.024753610682082546,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-300,mDice,0.8828153133392334,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-300,mIoU,0.8099318328003089,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
