"experiment","experiment_id","seed","dataset","metric","value","status","protocol_group","checkpoint","source_file","component","enabled"
"one_seed_33_fafem_warmup_cosine","Exp33","42","ETIS-LaribPolypDB","F_beta_w","0.7343886373328683","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","ETIS-LaribPolypDB","maxE_phi","0.9080254262774782","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","ETIS-LaribPolypDB","mE_phi","0.886592055958076","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","ETIS-LaribPolypDB","MAE","0.015300892836592623","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","Kvasir-SEG","mDice","0.9275923869013787","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","Kvasir-SEG","mIoU","0.8778297072649002","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","Kvasir-SEG","S_alpha","0.9329588890817836","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","Kvasir-SEG","F_beta_w","0.9074640909679565","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","Kvasir-SEG","maxE_phi","0.9658535753901516","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","Kvasir-SEG","mE_phi","0.9597120177946152","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","Kvasir-SEG","MAE","0.024522666074725873","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-300","mDice","0.8902868116895358","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-300","mIoU","0.8151826898256938","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-300","S_alpha","0.9311385967538441","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-300","F_beta_w","0.8658423223669208","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-300","maxE_phi","0.973746711687151","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
